goos: darwin
goarch: arm64
pkg: github.com/open-telemetry/opentelemetry-collector-contrib/pkg/stanza/fileconsumer
cpu: Apple M3 Pro
BenchmarkFileInput/NoFlush-12        	  131833	      8550 ns/op	   10241 B/op	      10 allocs/op
BenchmarkFileInput/NoFlush-12        	  130910	      8579 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/NoFlush-12        	  136783	      8588 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/NoFlush-12        	  136797	      8557 ns/op	   10241 B/op	      10 allocs/op
BenchmarkFileInput/NoFlush-12        	  138882	      9268 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/NoFlush-12        	  122341	      8814 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/NoFlush-12        	  118990	      8938 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/NoFlush-12        	  124717	      8770 ns/op	   10241 B/op	      10 allocs/op
BenchmarkFileInput/NoFlush-12        	  119788	      8625 ns/op	   10240 B/op	      10 allocs/op
BenchmarkFileInput/Many-12           	     444	   2285071 ns/op	 1033019 B/op	    1015 allocs/op
BenchmarkFileInput/Many-12           	     370	   2703489 ns/op	 1040580 B/op	    1030 allocs/op
BenchmarkFileInput/Many-12           	     744	   1391899 ns/op	 1031644 B/op	    1014 allocs/op
BenchmarkFileInput/Many-12           	     571	   1774400 ns/op	 1029193 B/op	    1009 allocs/op
BenchmarkFileInput/Many-12           	     531	   1916065 ns/op	 1037307 B/op	    1027 allocs/op
BenchmarkFileInput/Many-12           	     582	   1892237 ns/op	 1040286 B/op	    1034 allocs/op
BenchmarkFileInput/Many-12           	     691	   1538553 ns/op	 1033485 B/op	    1021 allocs/op
BenchmarkFileInput/Many-12           	     781	   1310573 ns/op	 1027965 B/op	    1007 allocs/op
BenchmarkFileInput/Many-12           	     848	   1179268 ns/op	 1028739 B/op	    1007 allocs/op
BenchmarkFileInput/Many-12           	     679	   1489673 ns/op	 1033743 B/op	    1021 allocs/op
PASS
ok  	github.com/open-telemetry/opentelemetry-collector-contrib/pkg/stanza/fileconsumer	386.694s
