goos: darwin
goarch: arm64
pkg: github.com/open-telemetry/opentelemetry-collector-contrib/processor/resourcedetectionprocessor/internal
cpu: Apple M3 Pro
BenchmarkResourceProvider/ReadOnly-12                       	1000000000	         0.2481 ns/op	       0 B/op	       0 allocs/op
BenchmarkResourceProvider/ReadOnly-12                       	1000000000	         0.2476 ns/op	       0 B/op	       0 allocs/op
BenchmarkResourceProvider/ReadOnly-12                       	1000000000	         0.2504 ns/op	       0 B/op	       0 allocs/op
BenchmarkResourceProvider/ReadOnly-12                       	1000000000	         0.2604 ns/op	       0 B/op	       0 allocs/op
BenchmarkResourceProvider/ReadOnly-12                       	1000000000	         0.2562 ns/op	       0 B/op	       0 allocs/op
BenchmarkResourceProvider/ReadOnly-12                       	1000000000	         0.2556 ns/op	       0 B/op	       0 allocs/op
BenchmarkResourceProvider/Mixed_1Pct_Write-12               	75116194	        14.48 ns/op	      39 B/op	       0 allocs/op
BenchmarkResourceProvider/Mixed_1Pct_Write-12               	75456074	        14.10 ns/op	      39 B/op	       0 allocs/op
BenchmarkResourceProvider/Mixed_1Pct_Write-12               	75853550	        14.98 ns/op	      39 B/op	       0 allocs/op
BenchmarkResourceProvider/Mixed_1Pct_Write-12               	77532316	        14.24 ns/op	      39 B/op	       0 allocs/op
BenchmarkResourceProvider/Mixed_1Pct_Write-12               	80733555	        13.99 ns/op	      39 B/op	       0 allocs/op
BenchmarkResourceProvider/Mixed_1Pct_Write-12               	79212715	        13.71 ns/op	      39 B/op	       0 allocs/op
BenchmarkResourceProvider/Mixed_1Pct_Write-12               	82415227	        13.91 ns/op	      39 B/op	       0 allocs/op
BenchmarkResourceProvider/Mixed_1Pct_Write-12               	78881631	        15.20 ns/op	      39 B/op	       0 allocs/op
BenchmarkResourceProvider/Mixed_1Pct_Write-12               	81292324	        17.82 ns/op	      39 B/op	       0 allocs/op
BenchmarkResourceProvider/Mixed_1Pct_Write-12               	72682490	        13.91 ns/op	      39 B/op	       0 allocs/op
BenchmarkResourceProvider/Mixed_10Pct_Write-12              	 8915632	       140.3 ns/op	     399 B/op	       8 allocs/op
BenchmarkResourceProvider/Mixed_10Pct_Write-12              	 8216455	       150.6 ns/op	     399 B/op	       8 allocs/op
BenchmarkResourceProvider/Mixed_10Pct_Write-12              	 8371260	       138.6 ns/op	     399 B/op	       8 allocs/op
BenchmarkResourceProvider/Mixed_10Pct_Write-12              	 8083678	       139.5 ns/op	     399 B/op	       8 allocs/op
BenchmarkResourceProvider/Mixed_10Pct_Write-12              	 8778033	       138.4 ns/op	     399 B/op	       8 allocs/op
BenchmarkResourceProvider/Mixed_10Pct_Write-12              	 8656137	       144.7 ns/op	     399 B/op	       8 allocs/op
BenchmarkResourceProvider/Mixed_10Pct_Write-12              	 8689801	       142.3 ns/op	     399 B/op	       8 allocs/op
BenchmarkResourceProvider/Mixed_10Pct_Write-12              	 8747696	       135.9 ns/op	     399 B/op	       8 allocs/op
BenchmarkResourceProvider/Mixed_10Pct_Write-12              	 8772279	       135.4 ns/op	     399 B/op	       8 allocs/op
BenchmarkResourceProvider/Mixed_10Pct_Write-12              	 8304031	       140.4 ns/op	     399 B/op	       8 allocs/op
PASS
ok  	github.com/open-telemetry/opentelemetry-collector-contrib/processor/resourcedetectionprocessor/internal	89.245s
