goos: darwin
goarch: arm64
pkg: github.com/open-telemetry/opentelemetry-collector-contrib/pkg/stanza/fileconsumer
cpu: Apple M1 Max
BenchmarkFileInput/NoFlush-10        	  106856	     11016 ns/op	       0 B/op	       0 allocs/op
BenchmarkFileInput/NoFlush-10        	  111327	     10565 ns/op	       1 B/op	       0 allocs/op
BenchmarkFileInput/NoFlush-10        	  111132	     10839 ns/op	       0 B/op	       0 allocs/op
BenchmarkFileInput/NoFlush-10        	  113244	     10676 ns/op	       1 B/op	       0 allocs/op
BenchmarkFileInput/NoFlush-10        	  114840	     10649 ns/op	       0 B/op	       0 allocs/op
BenchmarkFileInput/NoFlush-10        	  113169	     10844 ns/op	       0 B/op	       0 allocs/op
BenchmarkFileInput/NoFlush-10        	  115562	     10653 ns/op	       0 B/op	       0 allocs/op
BenchmarkFileInput/NoFlush-10        	  115566	     10887 ns/op	       2 B/op	       0 allocs/op
BenchmarkFileInput/Many-10           	    1428	    777868 ns/op	    9856 B/op	      10 allocs/op
BenchmarkFileInput/Many-10           	    1664	    659289 ns/op	    5633 B/op	       6 allocs/op
BenchmarkFileInput/Many-10           	    1526	    658850 ns/op	    6147 B/op	       7 allocs/op
BenchmarkFileInput/Many-10           	    1376	    746515 ns/op	   17070 B/op	      17 allocs/op
BenchmarkFileInput/Many-10           	    1364	    764473 ns/op	   13777 B/op	      14 allocs/op
BenchmarkFileInput/Many-10           	    1340	    748670 ns/op	   10500 B/op	      11 allocs/op
BenchmarkFileInput/Many-10           	    1387	    722703 ns/op	   13545 B/op	      14 allocs/op
BenchmarkFileInput/Many-10           	    1292	    831123 ns/op	   25493 B/op	      25 allocs/op
BenchmarkFileInput/Many-10           	    1323	    803747 ns/op	    7078 B/op	       8 allocs/op
BenchmarkFileInput/Many-10           	    1422	    745616 ns/op	    6598 B/op	       7 allocs/op
PASS
ok  	github.com/open-telemetry/opentelemetry-collector-contrib/pkg/stanza/fileconsumer	361.302s
